File,Min Loss,Max Loss,Min C Loss,Max C Loss,From Gain,To Gain,From Tempo,To Tempo,Tempo Offset,Interval Phase,Interval,Interval Offset,Active
rebirth_00-04-214_brass.wav,0,2,0,0.1,1,1,0.25,0.25,0,4,4,0,1
rebirth_00-05-263_brass.wav,0,2,0,0.3,1,1,0.25,0.25,0,4,4,2,1
rebirth_00-04-214_brass.wav,0,2,0,0.4,1,1,0.25,0.25,0,4,4,1,1
rebirth_00-05-263_brass.wav,0,2,0,0.6,1,1,0.25,0.25,0,4,4,3,1
rebirth_01-07-225_vocal.wav,0,2,0,0.15,1,1,0.5,0.5,0,2,2,0,1
rebirth_03-53-189_vocal.wav,0,2,0,0.35,1,1,0.5,0.5,0.25,2,2,0,1
rebirth_00-57-894_vocal.wav,0,2,0,0.45,1,1,0.5,0.5,0.5,2,2,0,1
rebirth_01-02-798_vocal.wav,0,2,0,0.65,1,1,0.5,0.5,0.75,2,2,0,1
rebirth_08-22-754_vocal.wav,0,2,0,0.15,1,1,0.5,0.5,0,2,2,1,1
rebirth_19-00-788_vocal.wav,0,2,0,0.35,1,1,0.5,0.5,0.25,2,2,1,1
rebirth_19-02-447_vocal.wav,0,2,0,0.45,1,1,0.5,0.5,0.5,2,2,1,1
rebirth_19-04-984-vocal.wav,0,2,0,0.65,1,1,0.5,0.5,0.75,2,2,1,1
rebirth_08-05-038_tuba.wav,0,2,0,0.2,1,1.5,1,1,0,1,4,0,1
rebirth_08-06-479_tuba.wav,0,2,0,0.33,1,1.5,1,1,0.5,1,4,1,1
rebirth_08-06-994_tuba.wav,0,2,0,0.5,1,1.5,1,1,0,1,4,3,1
rebirth_00-17-987_brass.wav,0,2,0,0.575,1,1,1,1,0,1,4,0,1
rebirth_00-18-424_brass.wav,0,2,0,0.675,1,1,1,1,0.5,1,4,1,1
rebirth_00-18-821_brass.wav,0,2,0,0.775,1,1,1,1,0,1,4,3,1
rebirth_42-17-152_bass.wav,0,2,0,0.9,1,1,0.25,0.25,0.5,1,1,0,1
rebirth_00-17-630_snare.wav,0,2,0,0.7,1,1,0.25,0.25,0.25,1,1,0,1
rebirth_00-04-214_brass-x2.wav,0,2,0.1,0.65,1,1,0.25,0.25,0,4,4,0,1
rebirth_00-05-263_brass-x2.wav,0,2,0.3,0.75,1,1,0.25,0.25,0,4,4,2,1
rebirth_00-04-214_brass-x2.wav,0,2,0.4,0.8,1,1,0.25,0.25,0,4,4,1,1
rebirth_00-05-263_brass-x2.wav,0,2,0.6,0.85,1,1,0.25,0.25,0,4,4,3,1
rebirth_01-07-225_vocal-x3.wav,0,2,0.15,0.575,1,1,0.5,0.5,0,2,2,0,1
rebirth_03-53-189_vocal-x3.wav,0,2,0.35,0.675,1,1,0.5,0.5,0.25,2,2,0,1
rebirth_00-57-894_vocal-x3.wav,0,2,0.45,0.775,1,1,0.5,0.5,0.5,2,2,0,1
rebirth_01-02-798_vocal-x3.wav,0,2,0.65,0.875,1,1,0.5,0.5,0.75,2,2,0,1
rebirth_08-22-754_vocal-x3.wav,0,2,0.15,0.575,1,1,0.5,0.5,0,2,2,1,1
rebirth_19-00-788_vocal-x3.wav,0,2,0.35,0.675,1,1,0.5,0.5,0.25,2,2,1,1
rebirth_19-02-447_vocal-x3.wav,0,2,0.45,0.775,1,1,0.5,0.5,0.5,2,2,1,1
rebirth_19-04-984-vocal-x3.wav,0,2,0.65,0.875,1,1,0.5,0.5,0.75,2,2,1,1
rebirth_08-05-038_tuba-x4.wav,0,2,0.2,0.625,1,1.5,1,1,0,1,4,0,1
rebirth_08-06-479_tuba-x4.wav,0,2,0.33,0.725,1,1.5,1,1,0.5,1,4,1,1
rebirth_08-06-994_tuba-x4.wav,0,2,0.5,0.825,1,1.5,1,1,0,1,4,3,1
rebirth_00-04-214_brass-x3.wav,0,2,0.65,0.775,1,1,0.25,0.25,0,4,4,0,1
rebirth_00-05-263_brass-x3.wav,0,2,0.75,0.875,1,1,0.25,0.25,0,4,4,2,1
rebirth_00-04-214_brass-x3.wav,0,2,0.8,0.925,1,1,0.25,0.25,0,4,4,1,1
rebirth_00-05-263_brass-x3.wav,0,2,0.85,0.975,1,1,0.25,0.25,0,4,4,3,1
rebirth_01-07-225_vocal-x6.wav,0,2,0.575,0.825,1,1,0.5,0.5,0,2,2,0,1
rebirth_03-53-189_vocal-x6.wav,0,2,0.675,0.85,1,1,0.5,0.5,0.25,2,2,0,1
rebirth_00-57-894_vocal-x6.wav,0,2,0.775,0.875,1,1,0.5,0.5,0.5,2,2,0,1
rebirth_01-02-798_vocal-x6.wav,0,2,0.875,0.9,1,1,0.5,0.5,0.75,2,2,0,1
rebirth_08-22-754_vocal-x6.wav,0,2,0.575,0.825,1,1,0.5,0.5,0,2,2,1,1
rebirth_19-00-788_vocal-x6.wav,0,2,0.675,0.85,1,1,0.5,0.5,0.25,2,2,1,1
rebirth_19-02-447_vocal-x6.wav,0,2,0.775,0.875,1,1,0.5,0.5,0.5,2,2,1,1
rebirth_19-04-984-vocal-x6.wav,0,2,0.875,0.9,1,1,0.5,0.5,0.75,2,2,1,1
rebirth_00-04-214_brass-x4.wav,0,2,0.775,0.875,1,1,0.25,0.25,0,4,4,0,1
rebirth_00-05-263_brass-x4.wav,0,2,0.875,0.975,1,1,0.25,0.25,0,4,4,2,1
rebirth_00-04-214_brass-x4.wav,0,2,0.925,0.95,1,1,0.25,0.25,0,4,4,1,1
rebirth_00-05-263_brass-x4.wav,0,2,0.975,0.98,1,1,0.25,0.25,0,4,4,3,1
rebirth_00-04-214_brass-x8.wav,0,2,0.875,2,1,2,0.25,0.25,0,4,4,0,1
rebirth_00-05-263_brass-x8.wav,0,2,0.975,2,1,2,0.25,0.25,0,4,4,2,1
rebirth_08-05-038_tuba-x8.wav,0,2,0.625,2,1,1.5,0.5,0.5,0,2,4,0,1
rebirth_08-06-479_tuba-x8.wav,0,2,0.725,2,1,1.5,0.5,0.5,0.5,2,4,1,1
rebirth_08-06-994_tuba-x8.wav,0,2,0.825,2,1,1.5,0.5,0.5,0,2,4,3,1