file,multiply
rebirth_00-04-214_brass.wav,2
rebirth_00-05-263_brass.wav,2
rebirth_00-04-214_brass.wav,2
rebirth_00-05-263_brass.wav,2
rebirth_01-07-225_vocal.wav,3
rebirth_03-53-189_vocal.wav,3
rebirth_00-57-894_vocal.wav,3
rebirth_01-02-798_vocal.wav,3
rebirth_08-22-754_vocal.wav,3
rebirth_19-00-788_vocal.wav,3
rebirth_19-02-447_vocal.wav,3
rebirth_19-04-984-vocal.wav,3
rebirth_08-05-038_tuba.wav,4
rebirth_08-06-479_tuba.wav,4
rebirth_08-06-994_tuba.wav,4
rebirth_00-04-214_brass.wav,3
rebirth_00-05-263_brass.wav,3
rebirth_00-04-214_brass.wav,3
rebirth_00-05-263_brass.wav,3
rebirth_01-07-225_vocal.wav,6
rebirth_03-53-189_vocal.wav,6
rebirth_00-57-894_vocal.wav,6
rebirth_01-02-798_vocal.wav,6
rebirth_08-22-754_vocal.wav,6
rebirth_19-00-788_vocal.wav,6
rebirth_19-02-447_vocal.wav,6
rebirth_19-04-984-vocal.wav,6
rebirth_00-04-214_brass.wav,4
rebirth_00-05-263_brass.wav,4
rebirth_00-04-214_brass.wav,4
rebirth_00-05-263_brass.wav,4
rebirth_00-04-214_brass.wav,8
rebirth_00-05-263_brass.wav,8
rebirth_08-05-038_tuba.wav,8
rebirth_08-06-479_tuba.wav,8
rebirth_08-06-994_tuba.wav,8