word,region,gender
anal,butt,both
ankle,ankle,both
ankles,ankle,both
anus,butt,both
arm,arm,both
arms,arm,both
ass,butt,both
asses,butt,both
asshole,butt,both
assholes,butt,both
balls,groin,male
belly,stomach,both
bellybutton,stomach,both
boner,groin,male
boners,groin,male
boob,chest,female
boobs,chest,female
booty,butt,female
booties,butt,female
breast,chest,female
breasts,chest,female
butt,butt,both
butts,butt,both
butthole,butt,both
buttocks,butt,both
calf,calf,both
calves,calf,both
cheek,cheek,both
cheeks,cheek,both
chest,chest,both
chin,chin,both
chins,chin,both
cleavage,chest,female
clit,groin,female
clits,groin,female
clitoris,groin,female
cock,groin,male
cocks,groin,male
cooch,groin,female
coochie,groin,female
cum,groin,male
cunnilingis,groin,female
cunnilingis,mouth,male
cunt,groin,female
cunts,groin,female
derriere,butt,female
derrieres,butt,female
dick,groin,male
dicks,groin,male
dong,groin,male
dongs,groin,male
ear,ear,both
ears,ear,both
elbow,elbow,both
elbows,elbow,both
erection,groin,male
erections,groin,male
eye,eye,both
eyes,eye,both
eyeball,eye,both
eyeballs,eye,both
eyebrow,eye,both
eyebrows,eye,both
eyelash,eye,both
eyelashes,eye,both
eyelid,eye,both
eyelids,eye,both
face,face,both
faces,face,both
fart,butt,both
feet,foot,both
finger,finger,both
fingers,finger,both
fingernail,finger,both
fingernails,finger,both
foot,foot,both
forehead,forehead,both
groin,groin,both
hair,hair,both
hand,hand,both
hands,hand,both
hardon,groin,male
hard-on,groin,male
head,face,both
heads,face,both
heart,heart,both
hearts,heart,both
heartbeat,heart,both
heartbeats,heart,both
heel,foot,both
heels,foot,both
hip,waist,both
hips,waist,both
jaw,mouth,both
jizz,groin,male
kiss,mouth,both
kissed,mouth,both
kisses,mouth,both
kissing,mouth,both
knee,knee,both
knees,knee,both
knuckle,hand,both
knuckles,hand,both
labia,groin,female
leg,leg,both
legs,leg,both
lingam,groin,male
lip,mouth,both
lips,mouth,both
mouth,mouth,both
nape,neck,both
navel,stomach,both
neck,neck,both
necks,neck,both
nipple,chest,both
nipples,chest,both
nose,nose,both
noses,nose,both
penis,groin,male
pootie,groin,female
prick,groin,male
pricks,groin,male
pubes,groin,both
pubic,groin,both
pussy,groin,female
pussies,groin,female
schlong,groin,male
schlongs,groin,male
semen,groin,male
shin,shin,both
shins,shin,both
shlong,groin,male
shoulder,shoulder,both
shoulders,shoulder,both
stomach,stomach,both
tears,eye,both
teeth,mouth,both
thigh,thigh,both
thighs,thigh,both
throat,neck,both
throats,neck,both
thumb,thumb,both
thumbs,thumb,both
tit,chest,female
titty,chest,female
tits,chest,female
titties,chest,female
toe,toe,both
toes,toe,both
toenail,toe,both
toenails,toe,both
tongue,mouth,both
tongues,mouth,both
tooth,mouth,both
twat,groin,female
twats,groin,female
vagina,groin,female
vaginas,groin,female
vulva,groin,female
waist,waist,both
waists,waist,both
wrist,wrist,both
wrists,wrist,both
yoni,groin,female